id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Enola;Emmerich;Keara.Prosacco@yahoo.com;Engineer;2019-07-21T13:34:09;24687;25178
2;Mauricio;Kunze;Elise99@hotmail.com;mission-critical;2019-07-21T13:13:45;50267;41103
3;Amelie;Bartoletti;Ewell.Upton@gmail.com;Granite Berkshire Designer;2019-07-22T06:51:30;59269;67213
4;Armando;Ruecker;David_Fisher36@yahoo.com;invoice withdrawal;2019-07-21T23:48:33;81643;9028
5;Pierre;Skiles;Emmie69@gmail.com;HDD;2019-07-22T04:50:41;67756;22024
6;Agnes;Rath;Raleigh_Fahey@yahoo.com;Sausages;2019-07-21T20:05:07;39757;38673
7;Joseph;Wehner;Brionna_Padberg@hotmail.com;azure;2019-07-21T23:40:23;87733;69578
8;Destany;Farrell;Chanel_Schumm51@yahoo.com;content-based Executive;2019-07-21T13:29:52;89721;55829
9;Stephan;Tillman;Clair34@yahoo.com;bus Internal AI;2019-07-21T17:57:03;88777;64203
10;Rowena;Boehm;Carolyne_Schaden60@hotmail.com;Tools Unbranded;2019-07-21T20:44:37;97366;506
